#,Group,Common Name,Scientific Name,Category,Location(s) of Observation,Habitat,Photo Files,Species Page
1,Flora,Ixora / Jungle Geranium,Ixora coccinea,Flowering shrub,Near Gents Hostel,Managed garden / shrub habitat,ixora-coccinea-photo3.jpg; ixora-coccinea-photo4.jpg; ixora-coccinea-photo5.jpg; ixora-coccinea-photo11.jpg,Flora/ixora-coccinea/README.md
2,Flora,Golden Dewdrop,Duranta erecta,Shrub,Shrub/hedge areas,Managed shrub habitat,duranta-erecta-photo1.jpg,Flora/duranta-erecta/README.md
3,Flora,Yellow Trumpet Flower,Allamanda cathartica,Flowering climber/shrub,Near Hostel Mess,Managed garden habitat,allamanda-cathartica-photo6.jpg,Flora/allamanda-cathartica/README.md
4,Flora,Yellow Bells / Yellow Trumpetbush,Tecoma stans,Flowering shrub,Open garden bed beside walkway,Managed garden / open habitat,tecoma-stans-photo8.jpg,Flora/tecoma-stans/README.md
5,Flora,Frangipani / Plumeria,Plumeria rubra,Tree,Hostel Lawn; Near Amphitheatre,"Campus lawn, tree and open habitat",plumeria-rubra-photo7.jpg; plumeria-rubra-photo17.jpg,Flora/plumeria-rubra/README.md
6,Flora,Giant Crinum Lily,Crinum asiaticum,Herb,Canteen walkway,Managed garden habitat,crinum-asiaticum-photo10.jpg,Flora/crinum-asiaticum/README.md
7,Flora,Coatbuttons,Tridax procumbens,Herb,Near SSN,Grassland-like disturbed habitat,tridax-procumbens-photo12.jpg,Flora/tridax-procumbens/README.md
8,Flora,Rambutan,Nephelium lappaceum,Flowering plant (tree),Near Gents Hostel,Open habitat,nephelium-lappaceum-photo2.jpg,Flora/nephelium-lappaceum/README.md
9,Flora,Variegated Spider Plant,Chlorophytum comosum,Herb (Amaryllidaceae),Near Gents Hostel,Open habitat,chlorophytum-comosum-photo16.jpg,Flora/chlorophytum-comosum/README.md
10,Fauna,Rusty Millipede,Trigoniulus corallinus,Invertebrate (Diplopoda),Ground surface near Gents Hostel,Leaf litter / soil-edge microhabitat,trigoniulus-corallinus-photo9.jpg,Fauna/trigoniulus-corallinus/README.md
11,Fauna,Oriental Garden Lizard,Calotes versicolor,Reptile,Vegetation near garden plants,Shrub/ornamental vegetation,calotes-versicolor-photo13.jpg,Fauna/calotes-versicolor/README.md
12,Fauna,Black Drongo,Dicrurus macrocercus,Bird,Near Gents Hostel,Open campus edge habitat,dicrurus-macrocercus-photo14.jpg,Fauna/dicrurus-macrocercus/README.md
13,Fauna,Red Cotton Stainer Bug,Dysdercus cingulatus,Insect (Hemiptera: Pyrrhocoridae),Near Gents Hostel,Open habitat,dysdercus-cingulatus-photo15.jpg,Fauna/dysdercus-cingulatus/README.md
14,Fauna,Domestic Dog,Canis lupus familiaris,Mammal (Carnivora: Canidae),Near Gents Hostel,Open habitat,canis-lupus-familiaris-photo18.jpg,Fauna/canis-lupus-familiaris/README.md
15,Fauna,Domestic Cat,Felis catus,Mammal (Carnivora: Felidae),Near Canteen,Open habitat,felis-catus-photo19.jpg,Fauna/felis-catus/README.md
